Section A	Agriculture, Hunting and Forestry
17.5	Manufacture of other textiles
17.51	Manufacture of carpets and rugs
17.51/1	Manufacture of woven carpets and rugs
17.51/2	Manufacture of tufted carpets and rugs
17.51/3	This code is no longer in use
17.51/9	Manufacture of other carpets and rugs
17.52	Manufacture of cordage, rope, twine and netting
17.53	Manufacture of non-wovens and articles made from non-wovens, except apparel
17.54	Manufacture of other textiles not elsewhere classified
17.54/1	Manufacture of lace
17.54/2	Manufacture of narrow fabrics
17.54/3	This code is no longer in use
17.54/9	Manufacture of other textiles not elsewhere classified
17.6	Manufacture of knitted and crocheted fabrics
17.60	Manufacture of knitted and crocheted fabrics
17.7	Manufacture of knitted and crocheted articles
17.71	Manufacture of knitted and crocheted hosiery
17.72	Manufacture of knitted and crocheted pullovers, cardigans and similar articles
18	Manufacture of Wearing Apparel; Dressing and Dyeing of Fur
18.1	Manufacture of leather clothes
18.10	Manufacture of leather clothes
18.2	Manufacture of other wearing apparel and accessories
18.21	Manufacture of workwear
18.22	Manufacture of other outerwear
18.22/1	Manufacture of other men's outerwear
18.22/2	Manufacture of other women's outerwear
18.23	Manufacture of underwear
18.23/1	Manufacture of men's underwear
18.23/2	Manufacture of women's underwear
18.24	Manufacture of other wearing apparel and accessories not elsewhere classified
18.24/1	Manufacture of hats
18.24/2	This code is no longer in use
18.24/3	Cut, make and trim for clothing manufacturers (CMT)
18.24/9	Manufacture of other wearing apparel and accessories not elsewhere classified
18.3	Dressing and dyeing of fur; manufacture of articles of fur
18.30	Dressing and dyeing of fur; manufacture of articles of fur
Subsection DC	Manufacture of Leather and Leather Products
19	Tanning and Dressing of Leather; Manufacture of Handbags, Saddlery, Harness And Footwear
19.1	Tanning and dressing of leather
19.10	Tanning and dressing of leather
19.2	Manufacture of luggage, handbags and the like, saddlery and harness
19.20	Manufacture of luggage, handbags and the like, saddlery and harness
19.3	Manufacture of footwear
19.30	Manufacture of footwear
Subsection DD	Manufacture of Wood and Wood Products
20	Manufacture of Wood And Products of Wood And Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials
20.1	Saw milling and planing of wood, impregnation of wood
20.10	Saw milling and planing of wood, impregnation of wood
20.2	Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards
20.20	Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards
20.3	Manufacture of builders' carpentry and joinery
20.30	Manufacture of builders' carpentry and joinery
20.4	Manufacture of wooden containers
20.40	Manufacture of wooden containers
20.5	Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials
20.51	Manufacture of other products of wood
20.52	Manufacture of articles of cork, straw and plaiting materials
Subsection DE	Manufacture of Pulp, Paper and Paper Products Publishing and Printing
21	Manufacture of Pulp, Paperand Paper Products
21.1	Manufacture of pulp, paper and paperboard
21.11	Manufacture of pulp
21.12	Manufacture of paper and paperboard
21.2	Manufacture of articles of paper and paperboard
21.21	Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
21.21/1	Manufacture of corrugated paper and paperboard, sacks and bags
21.21/2	This code is no longer in use
21.21/3	Manufacture of cartons, boxes and cases of corrugated paper and paperboard
21.21/4	Manufacture of cartons, boxes and cases of non-corrugated paper and paperboard
21.21/5	Manufacture of cartons and similar containers of paper and paperboard specifically designed for carrying liquids, whether or not waxed
21.21/9	Manufacture of other paper and paperboard containers
21.22	Manufacture of household and sanitary goods and of toilet requisites
21.23	Manufacture of paper stationery
21.24	Manufacture of wallpaper
21.25	Manufacture of other articles of paper and paperboard not elsewhere classified
21.25/1	Manufacture of printed labels
21.25/2	Manufacture of unprinted labels
21.25/9	Manufacture of other articles of paper and paperboard not elsewhere classified
22	Publishing, Printing and Reproduction of Recorded Media
22.1	Publishing
22.11	Publishing of books
22.12	Publishing of newspapers
22.13	Publishing of journals and periodicals
22.14	Publishing of sound recordings
22.15	Other publishing
22.2	Printing and service activities related to printing
22.21	Printing of newspapers
22.22	Printing not elsewhere classified
22.23	Bookbinding
22.24	Pre-press activities
22.25	Ancillary activities related to printing
22.3	Reproduction of recorded media
22.31	Reproduction of sound recording
22.32	Reproduction of video recording
22.33	Reproduction of computer media
Subsection DF	Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel
23	Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel
23.1	Manufacture of coke oven products
23.10	Manufacture of coke oven products
23.2	Manufacture of refined petroleum products
23.20	Manufacture of refined petroleum products
23.20/1	Mineral oil refining
23.20/2	This code is no longer in use
23.20/9	Other treatment of petroleum products (excluding petrochemicals manufacture)
23.3	Processing of nuclear fuel
23.30	Processing of nuclear fuel
Subsection DG	Manufacture of Chemicals, Chemical Products and Man-made Fibres
24	Manufacture of Chemicals and Chemical Products
24.1	Manufacture of basic chemicals
24.11	Manufacture of industrial gases
24.12	Manufacture of dyes and pigments
24.13	Manufacture of other inorganic basic chemicals
24.14	Manufacture of other organic basic chemicals
24.15	Manufacture of fertilisers and nitrogen compounds
24.16	Manufacture of plastics in primary forms
24.17	Manufacture of synthetic rubber in primary forms
24.2	Manufacture of pesticides and other agro-chemical products
24.20	Manufacture of pesticides and other agro-chemical products
24.3	Manufacture of paints, varnishes and similar coatings, printing ink and mastics
24.30	Manufacture of paints, varnishes and similar coatings, printing ink and mastics
24.30/1	Manufacture of paints, varnishes and similar coatings
24.30/2	Manufacture of printing ink
24.30/3	Manufacture of mastics and sealants
24.4	Manufacture of pharmaceuticals, medicinal chemicals and botanical products
24.41	Manufacture of basic pharmaceutical products
24.42	Manufacture of pharmaceutical preparations
24.42/1	Manufacture of medicaments
24.42/2	Manufacture of non-medicaments
24.5	Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations
24.51	Manufacture of soap and detergents, cleaning and polishing preparations
24.51/1	Manufacture of soap and detergents
24.51/2	Manufacture of cleaning and polishing preparations
24.52	Manufacture of perfumes and toilet preparations
24.6	Manufacture of other chemical products
24.61	Manufacture of explosives
24.62	Manufacture of glues and gelatine
24.63	Manufacture of essential oils
24.64	Manufacture photographic chemical material
24.65	Manufacture of prepared unrecorded media
24.66	Manufacture of other chemical products not elsewhere classified
24.7	Manufacture of man-made fibres
24.70	Manufacture of man-made fibres
Subsection DH	Manufacture of Rubber and Plastic Products
25	Manufacture of Rubber and Plastic Products
25.1	Manufacture of rubber products
25.11	Manufacture of rubber tyres and tubes
25.12	Retreading and rebuilding of rubber tyres
25.13	Manufacture of other rubber products
25.2	Manufacture of plastic products
25.21	Manufacture of plastic plates, sheets, tubes and profiles
25.22	Manufacture of plastic packing goods
25.23	Manufacture of builders' ware of plastic
25.23/1	Manufacture of plastic floor coverings
25.23/2	This code is no longer in use
25.23/9	Manufacture of other builders' ware of plastic
25.24	Manufacture of other plastic products
Subsection DI	Manufacture of Other Non-metallic Mineral Products
26	Manufacture of Other Non-metallic Mineral Products
26.1	Manufacture of glass and glass products
26.11	Manufacture of flat glass
26.12	Shaping and processing of flat glass
26.13	Manufacture of hollow glass
26.14	Manufacture of glass fibres
26.15	Manufacture and processing of other glass including technical glassware
26.2	Manufacture of non-refractory ceramic goods other than for construction purposes; manufacture of refractory ceramic products
26.21	Manufacture of ceramic household and ornamental articles
26.22	Manufacture of ceramic sanitary fixtures
26.23	Manufacture of ceramic insulators and insulating fittings
26.24	Manufacture of other technical ceramic products
26.25	Manufacture of other ceramic products
26.26	Manufacture of refractory ceramic products
26.3	Manufacture of ceramic tiles and flags
26.30	Manufacture of ceramic tiles and flags
26.4	Manufacture of bricks, tiles and construction products, in baked clay
26.40	Manufacture of bricks, tiles and construction products, in baked clay
26.5	Manufacture of cement, lime and plaster
26.51	Manufacture of cement
26.52	Manufacture of lime
26.53	Manufacture of plaster
26.6	Manufacture of articles of concrete, plaster and cement
26.61	Manufacture of concrete products for construction purposes
26.62	Manufacture of plaster products for construction purposes
26.63	Manufacture of ready-mixed concrete
26.64	Manufacture of mortars
26.65	Manufacture of fibre cement
26.66	Manufacture of other articles of concrete, plaster and cement
26.7	Cutting, shaping and finishing of ornamental and building stone
26.70	Cutting, shaping and finishing of ornamental and building stone
26.8	Manufacture of other non-metallic mineral products
26.81	Production of abrasive products
26.82	Manufacture of other non-metallic mineral products not elsewhere classified
26.82/1	Manufacture of asbestos
26.82/2	This code is no longer in use
26.82/9	Manufacture of other non-metallic mineral products not elsewhere classified
Subsection DJ	Manufacture of Basic Metals and Fabricated Metal Products
27	Manufacture of Basic Metals
27.1	Manufacture of basic iron and steel and of ferro-alloys
27.10	Manufacture of basic iron and steel and of ferro-alloys
27.2	Manufacture of tubes
27.21	Manufacture of cast iron tubes
27.22	Manufacture of steel tubes
27.3	Other first processing of iron and steel
27.31	Cold drawing
27.32	Cold rolling of narrow strip
27.33	Cold forming or folding
27.34	Wire drawing
27.35	This code is no longer in use
27.4	Manufacture of basic precious and non-ferrous metals
27.41	Precious metals production
27.42	Aluminium production
27.43	Lead, zinc and tin production
27.44	Copper production
27.45	Other non-ferrous metal production
27.5	Casting of metals
27.51	Casting of iron
27.52	Casting of steel
27.53	Casting of light metals
27.54	Casting of other non-ferrous metals
28	Manufacture of Fabricated Metal Products, Except Machinery and Equipment
28.1	Manufacture of structural metal products
28.11	Manufacture of metal structures and parts of structures
28.12	Manufacture of builders' carpentry and joinery of metal
28.2	Manufacture of tanks, reservoirs and containers of metal; manufacture of central heating radiators and boilers
28.21	Manufacture of tanks, reservoirs and containers of metal
28.22	Manufacture of central heating radiators and boilers
28.3	Manufacture of steam generators, except central heating hot water boilers
28.30	Manufacture of steam generators, except central heating hot water boilers
28.4	Forging, pressing, stamping and roll forming of metal; powder metallurgy
28.40	Forging, pressing, stamping and roll forming of metal; powder metallurgy
28.5	Treatment and coating of metals; general mechanical engineering
28.51	Treatment and coating of metals
28.52	General mechanical engineering
28.6	Manufacture of cutlery, tools and general hardware
28.61	Manufacture of cutlery
28.62	Manufacture of tools
28.63	Manufacture of locks and hinges
28.7	Manufacture of other fabricated metal products
28.71	Manufacture of steel drums and similar containers
28.72	Manufacture of light metal packaging
28.73	Manufacture of wire products
28.74	Manufacture of fasteners, screw machine products, chains and springs
28.75	Manufacture of other fabricated metal products not elsewhere classified
Subsection DK	Manufacture of Machinery and Equipment Not Elsewhere Classified
29	Manufacture of Machinery and Equipment Not Elsewhere Classified
29.1	Manufacture of machinery for the production and use of mechanical power, except aircraft, vehicle and cycle engines
29.11	Manufacture of engines and turbines, except aircraft, vehicle and cycle engines
29.12	Manufacture of pumps and compressors
29.12/1	Manufacture of pumps
29.12/2	Manufacture of compressors
29.13	Manufacture of taps and valves
29.14	Manufacture of bearings, gears, gearing and driving elements
29.2	Manufacture of other general purpose machinery
29.21	Manufacture of furnaces and furnace burners
29.22	Manufacture of lifting and handling equipment
29.23	Manufacture of non-domestic cooling and ventilation equipment
29.24	Manufacture of other general purpose machinery not elsewhere classified
29.3	Manufacture of agricultural and forestry machinery
29.31	Manufacture of agricultural tractors
29.32	Manufacture of other agricultural and forestry machinery
29.4	Manufacture of machine tools
29.41	Manufacture of portable hand held power tools
29.42	Manufacture of other metalworking machine tools
29.43	Manufacture of other machine tools not elsewhere classified
29.5	Manufacture of other special purpose machinery
29.51	Manufacture of machinery for metallurgy
29.52	Manufacture of machinery for mining, quarrying and construction
29.52/1	Manufacture of machinery for mining
29.52/2	Manufacture of earth-moving equipment
29.52/3	Manufacture of equipment for concrete crushing and screening and roadworks
29.53	Manufacture of machinery for food, beverage and tobacco processing
29.54	Manufacture of machinery for textile, apparel and leather production
29.55	Manufacture of machinery for paper and paperboard production
29.56	Manufacture of other special purpose machinery not elsewhere classified
29.6	Manufacture of weapons and ammunition
29.60	Manufacture of weapons and ammunition
29.7	Manufacture of domestic appliances not elsewhere classified
29.71	Manufacture of electric domestic appliances
29.72	Manufacture of non-electric domestic appliances
Subsection DL	Manufacture of Electrical and Optical Equipment
30	Manufacture of Office Machinery and Computers
30.0	Manufacture of office machinery and computers
30.01	Manufacture of office machinery
30.02	Manufacture of computers and other information processing equipment
31	Manufacture of Electrical Machinery and Apparatus Not Elsewhere Classified
31.1	Manufacture of electric motors, generators and transformers
31.10	Manufacture of electric motors, generators and transformers
31.2	Manufacture of electricity distribution and control apparatus
31.20	Manufacture of electricity distribution and control apparatus
31.3	Manufacture of insulated wire and cable
31.30	Manufacture of insulated wire and cable
31.4	Manufacture of accumulators, primary cells and primary batteries
31.40	Manufacture of accumulators, primary cells and primary batteries
31.5	Manufacture of lighting equipment and electric lamps
31.50	Manufacture of lighting equipment and electric lamps
31.6	Manufacture of electrical equipment not elsewhere classified
31.61	Manufacture of electrical equipment for engines and vehicles not elsewhere classified
31.62	Manufacture of other electrical equipment not elsewhere classified
32	Manufacture of Radio, Television and Communication Equipment and Apparatus
32.1	Manufacture of electronic valves and tubes and other electronic components
32.10	Manufacture of electronic valves and tubes and other electronic components
32.2	Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy
32.20	Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy
32.20/1	Manufacture of telegraph and telephone apparatus and equipment
32.20/2	Manufacture of radio and electronic capital goods
32.3	Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods
32.30	Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods
33	Manufacture of Medical, Precision and Optical Instruments, Watches and Clocks
33.1	Manufacture of medical and surgical equipment and orthopaedic appliances
33.10	Manufacture of medical and surgical equipment and orthopaedic appliances
33.2	Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment
33.20	Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment
33.20/1	Manufacture of electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment
33.20/2	Manufacture of non-electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment
33.3	Manufacture of industrial process control equipment
33.30	Manufacture of industrial process control equipment
33.30/1	Manufacture of electronic industrial process control equipment
33.30/2	Manufacture of non-electronic industrial process control equipment
33.4	Manufacture of optical instruments and photographic equipment
33.40	Manufacture of optical instruments and photographic equipment
33.40/1	Manufacture of spectacles and unmounted lenses
33.40/2	Manufacture of optical precision instruments
33.40/3	Manufacture of photographic and cinematographic equipment
33.5	Manufacture of watches and clocks
33.50	Manufacture of watches and clocks
Subsection DM	Manufacture of Transport Equipment
34	Manufacture of Motor Vehicles, Trailers and Semi-trailers
34.1	Manufacture of motor vehicles
34.10	Manufacture of motor vehicles
34.2	Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
34.20	Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
34.20/1	Manufacture of bodies (coachwork) for motor vehicles (except caravans)
34.20/2	Manufacture of trailers and semi-trailers
34.20/3	Manufacture of caravans
34.3	Manufacture of parts and accessories for motor vehicles and their engines
34.30	Manufacture of parts and accessories for motor vehicles and their engines
35	Manufacture of Other Transport Equipment
35.1	Building and repairing of ships and boats
35.11	Building and repairing of ships
35.12	Building and repairing of pleasure and sporting boats
35.2	Manufacture of railway and tramway locomotives and rolling stock
35.20	Manufacture of railway and tramway locomotives and rolling stock
35.3	Manufacture of aircraft and spacecraft
35.30	Manufacture of aircraft and spacecraft
35.4	Manufacture of motorcycles and bicycles
35.41	Manufacture of motorcycles
35.42	Manufacture of bicycles
35.43	Manufacture of invalid carriages
35.5	Manufacture of other transport equipment not elsewhere classified
35.50	Manufacture of other transport equipment not elsewhere classified
Subsection DN	Manufacturing Not Elsewhere Classified
36	Manufacture of Furniture; Manufacturing Not Elsewhere Classified
36.1	Manufacture of furniture
36.11	Manufacture of chairs and seats
36.12	Manufacture of other office and shop furniture
36.13	Manufacture of other kitchen furniture
36.14	Manufacture of other furniture
36.15	Manufacture of mattresses
36.2	Manufacture of jewellery and related articles
36.21	Striking of coins
36.22	Manufacture of jewellery and related articles not elsewhere classified
36.3	Manufacture of musical instruments
36.30	Manufacture of musical instruments
36.4	Manufacture of sports goods
36.40	Manufacture of sports goods
36.5	Manufacture of games and toys
36.50	Manufacture of games and toys
36.50/1	Manufacture of professional and arcade games and toys
36.50/2	This code is no longer in use
36.50/9	Manufacture of other games and toys not elsewhere classified
36.6	Miscellaneous manufacturing not elsewhere classified
36.61	Manufacture of imitation jewellery
36.62	Manufacture of brooms and brushes
36.63	Other manufacturing not elsewhere classified
36.63/1	Manufacture of miscellaneous stationers' goods
36.63/2	This code is no longer in use
36.63/9	Other manufacturing not elsewhere classified
37	Recycling
37.1	Recycling of metal waste and scrap
37.10	Recycling of metal waste and scrap
37.2	Recycling of non-metal waste and scrap
37.20	Recycling of non-metal waste and scrap
Section E	Electricity, Gas and Water Supply
40	Electricity, Gas, Steam and Hot Water Supply
40.1	Production and distribution of electricity
40.11	Production of electricity
40.12	Transmission of electricity
40.13	Distribution and trade in electricity
40.2	Manufacture of gas; distribution of gaseous fuels through mains
40.21	Manufacture of gas
40.22	Distribution and trade of gaseous fuels through mains
40.3	Steam and hot water supply
40.30	Steam and hot water supply
41	Collection, Purification and Distribution of Water
41.0	Collection, purification and distribution of water
41.00	Collection, purification and distribution of water
Section F	Construction
45	Construction
45.1	Site preparation
45.11	Demolition and wrecking of buildings; earth moving
45.12	Test drilling and boring
45.2	Building of complete constructions or parts thereof; civil engineering
45.21	General construction of buildings and civil engineering works
45.21/1	Construction of commercial buildings
45.21/2	Construction of domestic buildings
45.21/3	Construction of civil engineering constructions
45.22	Erection of roof covering and frames
45.23	Construction of motorways, roads, railways, airfields and sports facilities
45.24	Construction of water projects
45.25	Other construction work involving special trades
45.3	Building installation
45.31	Installation of electrical wiring and fittings
45.32	Insulation work activities
45.33	Plumbing
45.34	Other building installation
45.4	Building completion
45.41	Plastering
45.42	Joinery installation
45.43	Floor or wall covering
45.44	Painting and glazing
45.45	Other building completion
45.5	Renting of construction or demolition equipment with operator
45.50	Renting of construction or demolition equipment with operator
Section G	Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods
50	Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Automotive Fuel
50.1	Sale of motor vehicles
50.10	Sale of motor vehicles
50.10/1	Sale of new motor vehicles
50.10/2	Sale of used motor vehicles
50.2	Maintenance and repair of motor vehicles
50.20	Maintenance and repair of motor vehicles
50.3	Sale of motor vehicle parts and accessories
50.30	Sale of motor vehicle parts and accessories
50.4	Sale, maintenance and repair of motorcycles and related parts and accessories
50.40	Sale, maintenance and repair of motorcycles and related parts and accessories
50.5	Retail sale of automotive fuel
50.50	Retail sale of automotive fuel
51	Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles
51.1	Wholesale on a fee or contract basis
51.11	Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods
51.12	Agents involved in the sale of fuels, ores, metals and industrial chemicals
51.13	Agents involved in the sale of timber and building materials
51.14	Agents involved in the sale of machinery, industrial equipment, ships and aircraft
51.15	Agents involved in the sale of furniture, household goods, hardware and ironmongery
51.16	Agents involved in the sale of textiles, clothing, footwear and leather goods
51.17	Agents involved in the sale of food, beverages and tobacco
51.18	Agents specialising in the sale of particular products or ranges of products not elsewhere classified
51.19	Agents involved in the sale of a variety of goods
51.2	Wholesale of agricultural raw materials and live animals
51.21	Wholesale of grain, seeds and animal feeds
51.22	Wholesale of flowers and plants
51.23	Wholesale of live animals
51.24	Wholesale of hides, skins and leather
51.24/1	Wholesale of fur skins
51.24/9	Wholesale of hides, skins and leather not elsewhere classified
51.25	Wholesale of unmanufactured tobacco
51.3	Wholesale of food, beverages and tobacco
51.31	Wholesale of fruit and vegetables
51.32	Wholesale of meat and meat products
51.33	Wholesale of dairy produce, eggs and edible oils and fats
51.33/1	Wholesale of dairy produce
51.33/2	Wholesale of eggs
51.33/3	Wholesale of edible oils and fats
51.34	Wholesale of alcoholic and other beverages
51.34/1	Wholesale of fruit and vegetable juices, mineral waters and soft drinks
51.34/2	Wholesale of wine, beer, spirits and other alcoholic beverages
51.35	Wholesale of tobacco products
51.36	Wholesale of sugar and chocolate and sugar confectionery
51.37	Wholesale of coffee, tea, cocoa and spices
51.38	Wholesale of other food including fish, crustaceans and molluscs
51.39	Non-specialised wholesale of food, beverages and tobacco
51.4	Wholesale of household goods
51.41	Wholesale of textiles
51.42	Wholesale of clothing and footwear
51.42/1	Wholesale of adults' fur and leather clothing
51.42/2	Wholesale of children's and infants' clothing
51.42/3	Wholesale of footwear
51.42/9	Wholesale of clothing not elsewhere classified
51.43	Wholesale of electrical household appliances and radio and television goods
51.43/1	Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played
51.43/9	Wholesale of radio and television goods; wholesale of electrical household appliances not elsewhere classified
51.44	Wholesale of china and glassware, wallpaper and cleaning materials
51.45	Wholesale of perfume and cosmetics
51.46	Wholesale of pharmaceutical goods
51.47	Wholesale of other household goods
51.47/1	Wholesale of furniture
51.47/2	This code is no longer in use
51.47/3	Wholesale of jewellery
51.47/4	Wholesale of imitation jewellery
51.47/5	Wholesale of musical instruments
51.47/6	Wholesale of photographic goods
51.47/7	Wholesale of toys and games
51.47/8	Wholesale of travel and fancy goods
